chrom,start,end,label,length
chr2,218653989,218894379,YES,240390
chr11,113906434,114132084,YES,225650
chr12,2075647,2568247,YES,492600
chr10,97067934,97335154,YES,267220
chr1,144884890,145041663,YES,156773
chr10,80826302,80957106,YES,130804
chr3,123023076,123170064,YES,146988
chr10,112389222,112598049,YES,208827
chr10,116230749,116543957,YES,313208
chr12,3293428,3391577,YES,98149
chr1,27814432,27932820,YES,118388
chr19,39125225,39226363,YES,101138
chr9,116212524,116388092,YES,175568
chr5,149969036,150054558,YES,85522
chr22,36715557,36823332,YES,107775
chr22,18310131,18488846,YES,178715
chr4,186563668,186802251,YES,238583
chr5,149107525,149238470,YES,130945
chr17,55908975,56034232,YES,125257
chr10,126309100,126444584,YES,135484
chr18,33876237,34175766,YES,299529
chr15,31616694,31696223,YES,79529
chr8,11531349,11623900,YES,92551
chr19,3335177,3460756,YES,125579
chr1,10721949,10857380,YES,135431
chr1,234650974,234750263,YES,99289
chr13,110867907,111097091,YES,229184
chr5,172067221,172234989,YES,167768
chr20,45923633,45991919,YES,68286
chr11,65237797,65278629,YES,40832
chr9,124029047,124135894,YES,106847
chr1,156425855,156481316,YES,55461
chr22,46933553,47086523,YES,152970
chr1,237141837,237399036,YES,257199
chr3,46954986,47030014,YES,75028
chr10,88389930,88472677,YES,82747
chr15,57880821,57985022,YES,104201
chr1,22220165,22285092,YES,64927
chr17,57404485,57519342,YES,114857
chr16,4232851,4324466,YES,91615
chr15,42173421,42265643,YES,92222
chr8,134496637,134588231,YES,91594
chr10,106058695,106110142,YES,51447
chr1,144674397,144710848,YES,36451
chr2,220268381,220340932,YES,72551
chr1,206821682,206911892,YES,90210
chr12,106456296,106542631,YES,86335
chr20,25159186,25292428,YES,133242
chr22,41762417,41845358,YES,82941
chr8,30240080,30429588,YES,189508
chr2,238490020,238653946,YES,163926
chr9,73004011,73054760,YES,50749
chr11,118777124,118804772,YES,27648
chr20,24972474,25040383,YES,67909
chr20,36677797,36797896,YES,120099
chr1,55007313,55077810,YES,70497
chr4,174426896,174485854,YES,58958
chr17,902598,1038942,YES,136344
chr7,151322886,151452873,YES,129987
chr12,123526445,123636562,YES,110117
chr22,35974361,36046286,YES,71925
chr20,30249168,30312142,YES,62974
chr14,77473708,77522172,YES,48464
chr3,127408826,127543420,YES,134594
chr11,126187177,126307082,YES,119905
chr9,134128980,134211241,YES,82261
chr5,139014699,139091197,YES,76498
chr3,156802888,156855556,YES,52668
chr5,172259481,172371501,YES,112020
chr18,19742437,19795465,YES,53028
chr1,234997926,235158976,YES,161050
chr2,105974230,106052843,YES,78613
chr1,227125411,227182472,YES,57061
