chrom,start,end,label,length
chr10,80826312,81011321,YES,185009
chr22,36673389,36878803,YES,205414
chr5,172140827,172339100,YES,198273
chr5,131742827,131839339,YES,96512
chr17,75307597,75474335,YES,166738
chr2,43384755,43505014,YES,120259
chr11,65183170,65199235,YES,16065
chr14,74178732,74270118,YES,91386
chr19,39125292,39227218,YES,101926
chr1,15205073,15394239,YES,189166
chr19,12887992,12908156,YES,20164
chr10,73469918,73543411,YES,73493
chr14,69228932,69284176,YES,55244
chr5,42989815,43020989,YES,31174
chr15,96843842,96906957,YES,63115
chr15,31615818,31691322,YES,75504
chr2,218654085,218820251,YES,166166
chr10,126299681,126433753,YES,134072
chr10,104327161,104439526,YES,112365
chr20,45882388,45991983,YES,109595
chr19,1247161,1263746,YES,16585
chr7,47445110,47688412,YES,243302
chr1,149820689,149835176,YES,14487
chr11,305604,321480,YES,15876
chr11,128547730,128674908,YES,127178
chr5,149833084,149934386,YES,101302
chr5,150384579,150487202,YES,102623
chr9,73012331,73054379,YES,42048
chr14,77488562,77519353,YES,30791
chr19,13250784,13293314,YES,42530
chr1,12192119,12269873,YES,77754
chr1,207977067,208097699,YES,120632
chr9,137206068,137350365,YES,144297
chr20,48875475,49040728,YES,165253
chr12,122224123,122245944,YES,21821
chr11,67029903,67058464,YES,28561
chr17,38449927,38521596,YES,71669
chr19,3335604,3460671,YES,125067
chr3,50264192,50307591,YES,43399
chr4,2787781,2871422,YES,83641
chr2,47166605,47317287,YES,150682
chr17,7736407,7749153,YES,12746
chr17,2293537,2322404,YES,28867
chr12,111834497,111889016,YES,54519
chr17,76300144,76392491,YES,92347
chr11,126180027,126350902,YES,170875
chr17,17575849,17697957,YES,122108
chr1,235047447,235184560,YES,137113
chr8,56791158,56923065,YES,131907
chr18,74764213,74846481,YES,82268
chr1,203236410,203297730,YES,61320
chr1,21580511,21672651,YES,92140
chr2,87742275,87840521,YES,98246
chr2,112167275,112265338,YES,98063
chr12,12866446,12902978,YES,36532
chr1,234718030,234755038,YES,37008
chr11,47395223,47423653,YES,28430
chr21,46285297,46352978,YES,67681
chr1,226819675,226928230,YES,108555
chr2,54781785,54902053,YES,120268
chr6,35685386,35701546,YES,16160
chr16,70712223,70788701,YES,76478
chr4,185249012,185375665,YES,126653
chr2,145130003,145282757,YES,152754
chr15,78282054,78380843,YES,98789
chr14,75682603,75782496,YES,99893
chr1,16151643,16178674,YES,27031
chr16,75263633,75360817,YES,97184
chr5,139013628,139091138,YES,77510
chr16,30193768,30223544,YES,29776
chr10,82202995,82296531,YES,93536
chr2,28550197,28654694,YES,104497
chr1,1580287,1626802,YES,46515
chr10,17241096,17281461,YES,40365
chr9,116246081,116384529,YES,138448
chr19,4038465,4116315,YES,77850
chr22,32924386,33042194,YES,117808
chr19,45220837,45274190,YES,53353
chr11,118740160,118801658,YES,61498
chr3,30645931,30738218,YES,92287
chr12,125382818,125426120,YES,43302
chr10,74055284,74097586,YES,42302
chr9,132198838,132263265,YES,64427
chr8,134497637,134585612,YES,87975
chr9,95854400,95911870,YES,57470
chr14,35801163,35884913,YES,83750
chr5,180212189,180260348,YES,48159
chr19,17178020,17268278,YES,90258
chr6,32934442,32942915,YES,8473
chr10,3782361,3829280,YES,46919
chr2,201979298,201998523,YES,19225
chr9,117102202,117161085,YES,58883
chr3,129276421,129347496,YES,71075
chr12,109195477,109256632,YES,61155
chr2,240138138,240264806,YES,126668
chr13,110867956,111024738,YES,156782
chr2,7049304,7212915,YES,163611
chr2,68941941,69039345,YES,97404
chr15,75067418,75093118,YES,25700
chr6,108878290,108920388,YES,42098
chr19,16426178,16495681,YES,69503
chr11,64615532,64656139,YES,40607
chr15,63765733,63817965,YES,52232
chr11,3845961,3927658,YES,81697
chr22,46464500,46478345,YES,13845
chr10,116061503,116188000,YES,126497
chr19,39895487,39906539,YES,11052
chr19,2540170,2665032,YES,124862
chr15,74665943,74746940,YES,80997
chr10,43885672,43917163,YES,31491
chr7,5452391,5482021,YES,29630
chr2,128377348,128434025,YES,56677
chr1,120556680,120613296,YES,56616
chr21,40330663,40396565,YES,65902
chr22,50318743,50364874,YES,46131
chr4,15002732,15007279,YES,4547
chr11,114002172,114070056,YES,67884
chr13,24789870,24857528,YES,67658
chr9,33101205,33169185,YES,67980
chr15,45002117,45024424,YES,22307
chr10,73977971,74038633,YES,60662
chr21,45536349,45595253,YES,58904
chr2,232570308,232582993,YES,12685
chr10,101279132,101311763,YES,32631
chr1,8402965,8526709,YES,123744
chr17,56405024,56422576,YES,17552
chr19,16176386,16207654,YES,31268
chr19,39317647,39361559,YES,43912
chr21,34727703,34815231,YES,87528
chr17,38245731,38288198,YES,42467
chr9,91966302,92152561,YES,186259
chr3,14412738,14505941,YES,93203
chr8,103794677,103823428,YES,28751
chr13,111351220,111369087,YES,17867
chr12,120652744,120706560,YES,53816
chr17,75092740,75185725,YES,92985
chr14,35014636,35026884,YES,12248
chr17,42274631,42313009,YES,38378
chr6,26155495,26174177,YES,18682
chr11,72298216,72354348,YES,56132
