chrom,start,end,label,length
chr1,564424,570340,YES,5916
chr10,42383221,42408491,YES,25270
chr19,3335220,3435694,YES,100474
chr16,46386122,46435632,YES,49510
chr9,37944859,38070405,YES,125546
chr5,139014931,139089034,YES,74103
chr19,39138209,39227436,YES,89227
chr10,80817765,80920515,YES,102750
chr22,36719593,36784141,YES,64548
chr15,90541209,90648622,YES,107413
chr22,43264591,43336922,YES,72331
chr17,55928639,56033446,YES,104807
chr10,134202361,134236211,YES,33850
chr17,48961222,49034141,YES,72919
chr22,37937583,37998650,YES,61067
chr16,85632955,85687468,YES,54513
chr22,50324650,50362146,YES,37496
chr12,124843409,124913860,YES,70451
chr10,42596669,42600229,YES,3560
chr9,130283151,130338372,YES,55221
chr14,77470019,77512103,YES,42084
chr1,22282432,22342083,YES,59651
chr19,54929167,54983116,YES,53949
chr3,46971661,47023868,YES,52207
chr15,31618841,31660188,YES,41347
chr9,132243664,132264662,YES,20998
chr2,218761878,218831134,YES,69256
chr14,69247125,69283871,YES,36746
chr20,17590772,17665877,YES,75105
chr10,126792523,126860641,YES,68118
chr2,235861833,235919493,YES,57660
chr1,10724234,10798853,YES,74619
chr7,1570011,1596310,YES,26299
chr11,118778086,118801447,YES,23361
chr9,140187407,140209780,YES,22373
chr17,17584647,17628117,YES,43470
chr17,16912295,17008666,YES,96371
chr17,25846751,25907835,YES,61084
chr11,65183945,65222715,YES,38770
chr19,2031847,2062521,YES,30674
chr19,13250701,13283347,YES,32646
chr12,124964679,125005536,YES,40857
chr20,24980162,25042934,YES,62772
chr17,71260184,71309281,YES,49097
chr16,88519690,88576861,YES,57171
chr9,73025322,73036879,YES,11557
chr7,47486901,47538635,YES,51734
chr9,95949201,96007955,YES,58754
chr8,145010086,145045727,YES,35641
chr4,1748386,1799730,YES,51344
chr17,7737430,7755143,YES,17713
chr9,97758110,97839793,YES,81683
chr21,46712869,46769645,YES,56776
chr14,100017945,100047929,YES,29984
chr2,242822926,242851518,YES,28592
chr10,104401575,104430088,YES,28513
chr19,18570846,18633007,YES,62161
chr14,74206350,74256808,YES,50458
chr9,130716400,130753595,YES,37195
chr5,1103424,1162193,YES,58769
chr1,3229360,3283107,YES,53747
chr7,30925630,30976895,YES,51265
chr19,56616528,56665154,YES,48626
chr10,73983571,74037749,YES,54178
chr7,5457094,5470362,YES,13268
chr19,12888303,12905229,YES,16926
chr17,79798957,79830349,YES,31392
chr1,17066786,17108592,YES,41806
chr1,21564396,21624001,YES,59605
chr17,79307665,79340673,YES,33008
chr12,122459729,122525902,YES,66173
chr2,219137661,219160647,YES,22986
chr14,104321147,104376774,YES,55627
chr18,11983867,12039110,YES,55243
chr17,2295449,2322339,YES,26890
chr1,33202622,33233639,YES,31017
chr19,45221530,45262229,YES,40699
chr3,5017659,5031408,YES,13749
chr16,57807519,57861689,YES,54170
chr17,72413564,72451320,YES,37756
chr1,234735294,234760652,YES,25358
chr20,43965219,43989012,YES,23793
chr12,53432826,53456145,YES,23319
chr11,65238691,65275309,YES,36618
chr1,16469712,16509159,YES,39447
chr17,38247973,38271499,YES,23526
chr17,8042100,8062329,YES,20229
chr17,80224398,80256844,YES,32446
chr19,46268891,46285907,YES,17016
chr10,45458178,45493148,YES,34970
chr9,130855533,130883698,YES,28165
chr21,46825115,46859502,YES,34387
chr9,124481996,124528314,YES,46318
chr1,156073453,156100195,YES,26742
chr11,65134015,65159000,YES,24985
chr10,77154737,77169907,YES,15170
chr3,50238556,50280758,YES,42202
chr19,42748163,42786772,YES,38609
chr7,75920340,75956165,YES,35825
chr5,172191499,172217196,YES,25697
chr12,122233159,122251232,YES,18073
chr17,180792,204004,YES,23212
chr9,127019819,127060282,YES,40463
chr19,5090946,5132399,YES,41453
chr15,78282322,78311560,YES,29238
chr3,193810820,193860761,YES,49941
chr2,219252286,219272220,YES,19934
chr1,17877745,17915409,YES,37664
chr12,53267361,53321687,YES,54326
chr1,19233692,19292343,YES,58651
chr20,31035878,31069764,YES,33886
chr15,67373153,67443080,YES,69927
chr9,135921907,135946672,YES,24765
chr11,114025529,114051695,YES,26166
chr1,16949793,16993667,YES,43874
chr9,135988433,136019939,YES,31506
chr17,38467246,38502436,YES,35190
chr16,629808,647291,YES,17483
chr13,52338124,52376302,YES,38178
chr5,149864820,149902774,YES,37954
chr14,75718982,75763057,YES,44075
chr1,234935793,234956376,YES,20583
chr19,18389478,18416480,YES,27002
chr13,111158616,111212666,YES,54050
chr17,36058524,36106462,YES,47938
chr17,72740879,72767003,YES,26124
chr9,136820829,136858717,YES,37888
chr22,50719664,50746196,YES,26532
chr5,149990906,150024649,YES,33743
chr16,2527556,2566084,YES,38528
chr12,123344891,123388419,YES,43528
chr18,19744422,19774342,YES,29920
chr21,42838219,42881349,YES,43130
chr10,99521825,99552760,YES,30935
chr10,112593247,112621248,YES,28001
chr17,75359721,75391375,YES,31654
chr20,45968454,45990446,YES,21992
chr1,21639448,21670086,YES,30638
chr11,68079981,68122853,YES,42872
chr1,226062174,226086979,YES,24805
chr11,1568781,1596185,YES,27404
chr9,139569922,139593186,YES,23264
chr12,113669662,113710797,YES,41135
