chrom,start,end,label,length
chr22,36681838,36871169,YES,189331
chr11,113906599,114092628,YES,186029
chr10,80826019,80957388,YES,131369
chr19,39126229,39227177,YES,100948
chr15,31616781,31696113,YES,79332
chr1,10694033,10883892,YES,189859
chr10,97137580,97321838,YES,184258
chr20,45924603,45992067,YES,67464
chr17,55909900,56033821,YES,123921
chr5,131741895,131842200,YES,100305
chr17,76309675,76421931,YES,112256
chr1,144923313,145010556,YES,87243
chr1,27814584,27936238,YES,121654
chr11,65237615,65278442,YES,40827
chr14,74178820,74270150,YES,91330
chr10,126301130,126433816,YES,132686
chr19,3335224,3460737,YES,125513
chr2,238490176,238654037,YES,163861
chr9,124029468,124135775,YES,106307
chr11,12087404,12292869,YES,205465
chr9,116236515,116397394,YES,160879
chr3,129273190,129347478,YES,74288
chr5,150382372,150511748,YES,129376
chr14,77466676,77522106,YES,55430
chr3,46954963,47031159,YES,76196
chr8,30239607,30429463,YES,189856
chr10,104354666,104439626,YES,84960
chr20,30249163,30312046,YES,62883
chr12,6221157,6351408,YES,130251
chr1,156065499,156133303,YES,67804
chr13,110937717,111086117,YES,148400
chr17,17710654,17863921,YES,153267
chr17,38459352,38521584,YES,62232
chr3,50264199,50309396,YES,45197
chr13,113338370,113448689,YES,110319
chr11,118777304,118801687,YES,24383
chr9,137215336,137367955,YES,152619
chr10,112389740,112595078,YES,205338
chr8,26428507,26517883,YES,89376
chr9,73004107,73054732,YES,50625
chr5,149969041,150040497,YES,71456
chr3,134027170,134100891,YES,73721
chr1,156425916,156481291,YES,55375
chr2,54685473,54869675,YES,184202
chr1,207976803,208043304,YES,66501
chr19,12882658,12907778,YES,25120
chr9,130255792,130343507,YES,87715
chr2,46523060,46617223,YES,94163
chr2,218653998,218760935,YES,106937
chr11,65182856,65196355,YES,13499
chr10,106057357,106111333,YES,53976
chr17,902634,1038704,YES,136070
chr17,75338077,75474360,YES,136283
chr12,58210296,58293388,YES,83092
chr8,134496520,134587951,YES,91431
chr12,109166675,109252798,YES,86123
chr15,57840518,57983809,YES,143291
chr14,69228936,69284570,YES,55634
chr2,47233830,47316789,YES,82959
chr3,123047106,123169548,YES,122442
chr16,70713826,70788392,YES,74566
chr2,201979435,202027733,YES,48298
chr1,36580357,36673482,YES,93125
chr3,39166370,39238958,YES,72588
chr14,68961448,69162906,YES,201458
chr22,50323334,50364887,YES,41553
chr17,78991542,79072181,YES,80639
chr2,85932033,86024845,YES,92812
chr5,149838670,149924908,YES,86238
chr20,36695079,36800496,YES,105417
chr10,82203077,82296979,YES,93902
chr9,132241137,132264724,YES,23587
chr1,8402967,8526577,YES,123610
chr1,22219744,22285044,YES,65300
chr22,46464333,46478321,YES,13988
chr2,20766951,20842366,YES,75415
chr11,62303390,62346625,YES,43235
chr6,108876411,108979665,YES,103254
chr15,67336274,67492619,YES,156345
chr10,126686318,126850980,YES,164662
chr1,21578100,21672712,YES,94612
chr19,39891508,39906312,YES,14804
chr11,126205923,126302889,YES,96966
chr7,5435875,5470729,YES,34854
chr9,139377687,139467997,YES,90310
chr20,19848049,19992261,YES,144212
chr17,17584082,17659611,YES,75529
chr17,79337961,79404678,YES,66717
chr1,234717962,234756523,YES,38561
chr12,124837146,124943451,YES,106305
chr12,3293566,3384480,YES,90914
chr1,19678834,19834526,YES,155692
chr5,172191447,172205889,YES,14442
chr10,73469788,73536258,YES,66470
chr15,42184174,42273506,YES,89332
chr3,52038185,52171855,YES,133670
chr11,128320891,128397740,YES,76849
chr10,120962844,121081079,YES,118235
chr17,16911039,17056941,YES,145902
chr3,45577625,45720589,YES,142964
chr15,66971035,67098106,YES,127071
chr1,144682628,144710817,YES,28189
chr2,159936457,160087427,YES,150970
chr5,139014590,139090485,YES,75895
chr12,123526946,123636984,YES,110038
chr12,2321941,2506285,YES,184344
chr10,80978206,81060982,YES,82776
chr2,43419809,43504826,YES,85017
chr18,19743086,19793872,YES,50786
chr12,120661264,120706116,YES,44852
chr19,2028451,2065796,YES,37345
chr11,68078124,68183049,YES,104925
chr6,35685859,35701711,YES,15852
chr10,81895446,81968091,YES,72645
chr10,3788924,3829319,YES,40395
chr20,24972518,25040392,YES,67874
chr9,135987263,136028143,YES,40880
chr14,35800644,35884337,YES,83693
chr12,2160784,2308190,YES,147406
chr2,128388413,128432789,YES,44376
chr11,64602307,64656159,YES,53852
chr20,48984303,49101307,YES,117004
chr17,57405627,57484763,YES,79136
chr14,70072979,70194893,YES,121914
chr18,74764253,74850632,YES,86379
chr14,75724170,75782540,YES,58370
chr11,74990886,75064405,YES,73519
chr17,2292824,2323274,YES,30450
chr12,53432606,53471826,YES,39220
chr12,106468114,106542399,YES,74285
chr2,240142072,240271252,YES,129180
chr1,204378358,204483129,YES,104771
chr17,1349346,1418331,YES,68985
chr18,46443546,46483939,YES,40393
chr1,226821191,226927225,YES,106034
chr5,180212078,180259556,YES,47478
chr15,90541207,90625359,YES,84152
chr10,116356071,116457594,YES,101523
chr12,639214,757151,YES,117937
chr11,33710192,33759388,YES,49196
chr9,139547415,139572027,YES,24612
chr12,124964140,125073840,YES,109700
chr9,33101209,33188199,YES,86990
chr15,89628643,89712706,YES,84063
chr14,61929086,62038000,YES,108914
chr1,206822469,206911835,YES,89366
chr1,11844105,11867846,YES,23741
chr10,74056403,74125256,YES,68853
chr10,123861451,123915331,YES,53880
chr2,207986269,208032999,YES,46730
chr1,203236433,203297636,YES,61203
chr10,104511668,104579423,YES,67755
chr7,75920294,75994358,YES,74064
chr8,142120902,142193195,YES,72293
chr3,42053783,42123345,YES,69562
chr1,45267046,45293024,YES,25978
chr20,60924752,60958205,YES,33453
chr16,75264248,75306669,YES,42421
chr10,134208125,134237674,YES,29549
chr22,41761883,41815258,YES,53375
chr3,156802993,156855459,YES,52466
chr3,127409006,127519818,YES,110812
chr1,39552242,39681869,YES,129627
chr15,86071141,86196451,YES,125310
chr11,75264138,75297106,YES,32968
chr8,11532909,11620420,YES,87511
chr22,47121652,47212523,YES,90871
chr3,141102333,141175829,YES,73496
chr5,141183253,141261839,YES,78586
chr12,111834356,111887837,YES,53481
chr1,203594371,203664912,YES,70541
chr1,235089721,235148992,YES,59271
chr10,73978318,74037905,YES,59587
chr12,122229224,122245144,YES,15920
chr1,33790711,33876383,YES,85672
chr1,223886988,223965394,YES,78406
chr22,30673723,30724257,YES,50534
chr1,12585166,12682939,YES,97773
chr5,149146052,149237553,YES,91501
chr3,187453008,187468862,YES,15854
chr22,43262920,43344520,YES,81600
chr16,10630530,10717302,YES,86772
chr17,71274441,71309276,YES,34835
chr17,4379415,4447094,YES,67679
chr3,5017612,5037799,YES,20187
chr11,2394892,2423073,YES,28181
chr7,116138842,116200757,YES,61915
chr19,11241249,11316051,YES,74802
chr11,73017515,73046727,YES,29212
chr9,37984537,38070743,YES,86206
chr17,75089434,75179269,YES,89835
chr12,125137559,125251001,YES,113442
chr21,45552726,45628837,YES,76111
chr17,8052384,8060998,YES,8614
chr19,6055959,6111185,YES,55226
chr19,13948720,13956318,YES,7598
chr12,113645418,113711745,YES,66327
chr22,50706923,50753929,YES,47006
chr8,38757120,38815692,YES,58572
chr1,155929550,155977247,YES,47697
chr15,78282170,78377327,YES,95157
chr15,96860251,96903800,YES,43549
chr6,11194797,11293348,YES,98551
chr11,67029854,67058699,YES,28845
chr12,125388901,125426136,YES,37235
chr8,103757051,103823241,YES,66190
chr7,151334703,151453821,YES,119118
chr16,4255777,4324619,YES,68842
chr19,15355331,15444012,YES,88681
chr5,133838572,133916041,YES,77469
chr16,1576604,1611647,YES,35043
chr19,6198900,6280219,YES,81319
chr12,123322169,123403162,YES,80993
