chrom,start,end,label,length
chr1,13049615,13050323,YES,708
chr1,13061206,13061924,YES,718
chr1,13063645,13065360,YES,1715
chr1,13071010,13071067,YES,57
chr1,13074460,13075741,YES,1281
chr1,13078042,13078601,YES,559
chr1,13084566,13085326,YES,760
chr1,13093990,13094765,YES,775
chr1,34130107,34131910,YES,1803
chr1,34133846,34134640,YES,794
chr1,36070190,36071796,YES,1606
chr1,36073779,36074608,YES,829
chr1,36111164,36111952,YES,788
chr1,36116855,36118698,YES,1843
chr1,37039139,37039872,YES,733
chr1,37040357,37041747,YES,1390
chr1,37042371,37043393,YES,1022
chr1,37043480,37044320,YES,840
chr1,37044340,37045411,YES,1071
chr1,72260528,72261272,YES,744
chr1,72839563,72840296,YES,733
chr1,72852241,72853381,YES,1140
chr1,72857535,72858199,YES,664
chr1,84857219,84857928,YES,709
chr1,84863217,84864024,YES,807
chr1,84868305,84869458,YES,1153
chr1,84878604,84879300,YES,696
chr1,84886218,84887132,YES,914
chr1,91766947,91767819,YES,872
chr1,91772864,91773527,YES,663
chr1,120538712,120539858,YES,1146
chr1,120542039,120542868,YES,829
chr1,120544250,120545414,YES,1164
chr1,120971968,120973737,YES,1769
chr1,121201424,121202481,YES,1057
chr1,121295085,121296031,YES,946
chr1,137071028,137071701,YES,673
chr1,137082347,137083206,YES,859
chr1,137094854,137096284,YES,1430
chr1,138586629,138587185,YES,556
chr1,138591254,138592054,YES,800
chr1,138592293,138593131,YES,838
chr1,138841643,138842570,YES,927
chr1,138847583,138848433,YES,850
chr1,138849067,138850970,YES,1903
chr1,154939988,154940954,YES,966
chr1,154942077,154943709,YES,1632
chr1,168054897,168055983,YES,1086
chr1,168065148,168065991,YES,843
chr1,168072277,168073079,YES,802
chr1,169201106,169201873,YES,767
chr1,169209346,169209861,YES,515
chr1,169212040,169212737,YES,697
chr1,169219450,169220423,YES,973
chr1,182818684,182819554,YES,870
chr1,182854521,182855608,YES,1087
chr1,182863625,182864307,YES,682
chr1,183948212,183949027,YES,815
chr1,183959983,183961151,YES,1168
chr1,183961213,183961841,YES,628
chr2,20574602,20575417,YES,815
chr2,20576153,20577587,YES,1434
chr2,20587019,20587660,YES,641
chr2,20590756,20591747,YES,991
chr2,30913257,30913848,YES,591
chr2,30915672,30916908,YES,1236
chr2,30923903,30925299,YES,1396
chr2,32008891,32009744,YES,853
chr2,32017573,32018776,YES,1203
chr2,32029668,32030736,YES,1068
chr2,33282029,33282550,YES,521
chr2,33293764,33294712,YES,948
chr2,33294855,33295688,YES,833
chr2,33300369,33300860,YES,491
chr2,71488013,71488835,YES,822
chr2,71490211,71491139,YES,928
chr2,71493420,71494617,YES,1197
chr2,71575856,71576629,YES,773
chr2,71582888,71583914,YES,1026
chr2,152002668,152003777,YES,1109
chr2,152552277,152553241,YES,964
chr2,152563042,152563676,YES,634
chr2,154242651,154243219,YES,568
chr2,154248945,154249919,YES,974
chr2,154251328,154253181,YES,1853
